iter	Passed	Remaining
367	681	1171
368	683	1168
369	685	1166
370	686	1163
371	687	1161
372	689	1158
373	690	1156
374	692	1153
375	693	1151
376	695	1148
377	696	1146
378	698	1144
379	699	1141
380	701	1139
381	702	1136
382	704	1134
383	705	1132
384	707	1129
385	708	1127
386	710	1124
387	711	1122
388	713	1120
389	714	1117
390	716	1115
391	717	1112
392	718	1110
393	720	1108
394	721	1105
395	723	1103
396	724	1100
397	726	1098
398	727	1096
399	729	1093
400	730	1091
401	732	1088
402	733	1086
403	734	1084
404	736	1081
405	737	1079
406	739	1077
407	740	1074
408	742	1072
409	743	1070
410	744	1067
411	746	1065
412	747	1062
413	749	1060
414	750	1058
415	751	1055
416	753	1053
417	754	1050
418	756	1048
419	757	1046
420	759	1044
421	760	1041
422	761	1039
423	763	1036
424	764	1034
425	766	1032
426	767	1029
427	768	1027
428	770	1024
429	771	1022
430	773	1020
431	774	1018
432	775	1016
433	777	1013
434	778	1011
435	780	1009
436	781	1006
437	782	1004
438	784	1002
439	786	1000
440	787	998
441	789	996
442	790	993
443	791	991
444	793	989
445	794	987
446	796	985
447	797	982
448	798	980
449	800	978
450	802	976
451	803	974
452	805	972
453	807	971
454	809	969
455	811	967
456	812	965
457	814	963
458	815	961
459	817	959
460	819	957
461	820	955
462	822	953
463	823	951
464	825	949
465	826	947
466	828	945
467	830	944
468	832	943
469	834	941
470	836	939
471	837	936
472	839	935
473	840	933
474	842	930
475	843	928
476	845	926
477	846	924
478	848	922
479	849	920
480	851	918
481	852	916
482	853	913
483	855	911
484	856	909
485	858	907
486	859	905
487	861	903
488	862	901
489	864	899
490	865	897
491	867	895
492	868	893
493	869	891
494	871	888
495	872	886
496	874	884
497	875	882
498	877	880
499	878	878
500	880	876
501	881	874
502	883	872
503	884	870
504	886	868
505	887	866
506	889	864
507	891	862
508	892	861
509	894	859
510	895	857
511	896	854
512	898	852
513	899	850
514	901	848
515	902	846
516	904	844
517	905	842
518	907	841
519	908	839
520	910	837
521	911	834
522	913	832
523	914	830
524	915	828
525	917	826
526	918	824
527	920	822
528	922	821
529	924	819
530	925	817
531	927	815
532	928	813
533	930	811
534	931	809
535	933	807
536	934	805
537	936	804
538	937	802
539	939	800
540	940	798
541	942	796
542	943	794
543	944	792
544	946	790
545	947	788
546	949	786
547	951	784
548	952	782
549	954	780
550	955	778
551	956	776
552	958	774
553	959	772
554	961	770
555	962	768
556	963	766
557	965	764
558	967	762
559	968	760
560	969	758
561	971	756
562	972	754
563	974	753
564	975	751
565	976	749
566	978	747
567	979	745
568	981	743
569	982	741
570	984	739
571	985	737
572	987	735
573	988	733
574	989	731
575	991	729
576	992	727
577	994	725
578	995	723
579	997	722
580	998	720
581	999	718
582	1001	716
583	1002	714
584	1004	712
585	1005	710
586	1007	708
587	1008	706
588	1010	704
589	1012	703
590	1013	701
591	1014	699
592	1016	697
593	1017	695
594	1019	693
595	1020	691
596	1021	689
597	1023	687
598	1024	686
599	1026	684
600	1027	682
601	1029	680
602	1030	678
603	1032	676
604	1033	674
605	1035	672
606	1036	671
607	1038	669
608	1039	667
609	1041	665
610	1042	664
611	1044	662
612	1045	660
613	1047	658
614	1049	656
615	1051	655
616	1052	653
617	1054	651
618	1056	649
619	1057	648
620	1058	646
621	1060	644
622	1061	642
623	1063	640
624	1064	638
625	1066	637
626	1067	634
627	1068	633
628	1070	631
629	1071	629
630	1073	627
631	1074	625
632	1076	623
633	1077	622
634	1079	620
635	1080	618
636	1082	616
637	1083	614
638	1085	613
639	1086	611
640	1088	609
641	1089	607
642	1090	605
643	1092	603
644	1093	601
645	1095	600
646	1096	598
647	1097	596
648	1099	594
649	1100	592
650	1102	590
651	1103	589
652	1105	587
653	1106	585
654	1108	583
655	1109	581
656	1110	580
657	1112	578
658	1113	576
659	1115	574
660	1116	572
661	1118	570
662	1119	569
663	1121	567
664	1122	565
665	1124	563
666	1125	561
667	1126	560
668	1128	558
669	1130	556
670	1131	554
671	1133	553
672	1134	551
673	1135	549
674	1137	547
675	1138	545
676	1140	544
677	1141	542
678	1143	540
679	1144	538
680	1146	536
681	1147	535
682	1148	533
683	1150	531
684	1151	529
685	1153	527
686	1154	526
687	1155	524
688	1157	522
689	1158	520
690	1160	518
691	1162	517
692	1163	515
693	1164	513
694	1166	511
695	1167	510
696	1169	508
697	1170	506
698	1172	504
699	1173	503
700	1176	501
701	1178	500
702	1179	498
703	1181	496
704	1182	494
705	1183	492
706	1185	491
707	1186	489
708	1187	487
709	1189	485
710	1191	484
711	1192	482
712	1193	480
713	1195	478
714	1196	477
715	1198	475
716	1199	473
717	1201	471
718	1202	470
719	1204	468
720	1206	466
721	1207	464
722	1208	463
723	1210	461
724	1211	459
725	1213	457
726	1214	456
727	1216	454
728	1217	452
729	1219	450
730	1221	449
731	1222	447
732	1224	445
733	1225	444
734	1227	442
735	1228	440
736	1230	438
737	1231	437
738	1232	435
739	1234	433
740	1236	432
741	1237	430
742	1239	428
743	1240	426
744	1242	425
745	1243	423
746	1244	421
747	1246	419
748	1247	418
749	1249	416
750	1250	414
751	1252	413
752	1254	411
753	1255	409
754	1256	407
755	1258	406
756	1260	404
757	1261	402
758	1263	401
759	1264	399
760	1266	397
761	1267	395
762	1269	394
763	1270	392
764	1271	390
765	1273	388
766	1274	387
767	1276	385
768	1277	383
769	1279	382
770	1280	380
771	1282	378
772	1283	376
773	1285	375
774	1286	373
775	1288	371
776	1289	370
777	1290	368
778	1292	366
779	1293	364
780	1295	363
781	1296	361
782	1298	359
783	1299	358
784	1301	356
785	1303	354
786	1304	353
787	1306	351
788	1307	349
789	1308	347
790	1310	346
791	1312	344
792	1313	342
793	1314	341
794	1316	339
795	1317	337
796	1319	336
797	1320	334
798	1322	332
799	1323	330
800	1325	329
801	1326	327
802	1328	325
803	1329	324
804	1331	322
805	1332	320
806	1333	319
807	1335	317
808	1336	315
809	1338	313
810	1339	312
811	1341	310
812	1342	308
813	1344	307
814	1345	305
815	1346	303
816	1348	302
817	1349	300
818	1350	298
819	1352	296
820	1353	295
821	1355	293
822	1356	291
823	1358	290
824	1359	288
825	1361	286
826	1362	285
827	1363	283
828	1365	281
829	1366	279
830	1368	278
831	1369	276
832	1371	274
833	1372	273
834	1374	271
835	1375	269
836	1377	268
837	1378	266
838	1380	264
839	1381	263
840	1383	261
841	1384	259
842	1386	258
843	1387	256
844	1389	254
845	1390	253
846	1391	251
847	1393	249
848	1394	248
849	1396	246
850	1397	244
851	1399	243
852	1400	241
853	1402	239
854	1404	238
855	1406	236
856	1407	234
857	1409	233
858	1410	231
859	1412	229
860	1413	228
861	1415	226
862	1416	224
863	1418	223
864	1419	221
865	1421	219
866	1422	218
867	1423	216
868	1425	214
869	1426	213
870	1428	211
871	1429	209
872	1431	208
873	1432	206
874	1434	204
875	1435	203
876	1437	201
877	1438	199
878	1439	198
879	1441	196
880	1442	194
881	1444	193
882	1445	191
883	1447	189
884	1448	188
885	1450	186
886	1451	184
887	1453	183
888	1454	181
889	1456	179
890	1457	178
891	1459	176
892	1461	175
893	1463	173
894	1464	171
895	1466	170
896	1467	168
897	1468	166
898	1470	165
899	1471	163
900	1473	161
901	1475	160
902	1476	158
903	1477	156
904	1479	155
905	1480	153
906	1482	151
907	1483	150
908	1484	148
909	1486	147
910	1487	145
911	1489	143
912	1491	142
913	1492	140
914	1493	138
915	1495	137
916	1496	135
917	1498	133
918	1499	132
919	1501	130
920	1502	128
921	1503	127
922	1505	125
923	1506	123
924	1508	122
925	1509	120
926	1511	119
927	1512	117
928	1514	115
929	1515	114
930	1517	112
931	1518	110
932	1520	109
933	1521	107
934	1522	105
935	1524	104
936	1525	102
937	1526	100
938	1528	99
939	1529	97
940	1531	96
941	1534	94
942	1536	92
943	1537	91
944	1539	89
945	1540	87
946	1542	86
947	1543	84
948	1545	83
949	1546	81
950	1548	79
951	1549	78
952	1551	76
953	1552	74
954	1554	73
955	1555	71
956	1557	69
957	1558	68
958	1560	66
959	1561	65
960	1563	63
961	1564	61
962	1566	60
963	1567	58
964	1569	56
965	1570	55
966	1572	53
967	1573	52
968	1575	50
969	1576	48
970	1577	47
971	1579	45
972	1581	43
973	1582	42
974	1583	40
975	1585	38
976	1586	37
977	1587	35
978	1589	34
979	1590	32
980	1592	30
981	1594	29
982	1595	27
983	1596	25
984	1598	24
985	1599	22
986	1601	21
987	1602	19
988	1604	17
989	1605	16
990	1606	14
991	1608	12
992	1610	11
993	1611	9
994	1613	8
995	1614	6
996	1615	4
997	1617	3
998	1618	1
999	1619	0
